Yahoo_Ticker,Ticker,Name,Sector,Country,Currency_Yahoo
FOXA,FOXA,Fox Corporation Class A,Communication Services,USA,EURUSD=X
FOX,FOX,Fox Corporation Class B,Communication Services,USA,EURUSD=X
BEN,BEN,Franklin Resources,Financials,USA,EURUSD=X
FCX,FCX,Freeport-McMoRan Inc.,Materials,USA,EURUSD=X
GPS,GPS,Gap Inc.,Consumer Discretionary,USA,EURUSD=X
GRMN,GRMN,Garmin Ltd.,Consumer Discretionary,USA,EURUSD=X
IT,IT,Gartner Inc,Information Technology,USA,EURUSD=X
GD,GD,General Dynamics,Industrials,USA,EURUSD=X
GE,GE,General Electric,Industrials,USA,EURUSD=X
GIS,GIS,General Mills,Consumer Staples,USA,EURUSD=X
GM,GM,General Motors,Consumer Discretionary,USA,EURUSD=X
GPC,GPC,Genuine Parts,Consumer Discretionary,USA,EURUSD=X
GILD,GILD,Gilead Sciences,Health Care,USA,EURUSD=X
GL,GL,Globe Life Inc.,Financials,USA,EURUSD=X
GPN,GPN,Global Payments Inc.,Information Technology,USA,EURUSD=X
GS,GS,Goldman Sachs Group,Financials,USA,EURUSD=X
GWW,GWW,Grainger (W.W.) Inc.,Industrials,USA,EURUSD=X
HRB,HRB,H&R Block,Consumer Discretionary,USA,EURUSD=X
HAL,HAL,Halliburton Co.,Energy,USA,EURUSD=X
HBI,HBI,Hanesbrands Inc,Consumer Discretionary,USA,EURUSD=X
HOG,HOG,Harley-Davidson,Consumer Discretionary,USA,EURUSD=X
HIG,HIG,Hartford Financial Svc.Gp.,Financials,USA,EURUSD=X
HAS,HAS,Hasbro Inc.,Consumer Discretionary,USA,EURUSD=X
HCA,HCA,HCA Healthcare,Health Care,USA,EURUSD=X
PEAK,PEAK,Healthpeak Properties,Real Estate,USA,EURUSD=X
HP,HP,Helmerich & Payne,Energy,USA,EURUSD=X
HSIC,HSIC,Henry Schein,Health Care,USA,EURUSD=X
HSY,HSY,The Hershey Company,Consumer Staples,USA,EURUSD=X
HES,HES,Hess Corporation,Energy,USA,EURUSD=X
HPE,HPE,Hewlett Packard Enterprise,Information Technology,USA,EURUSD=X
HLT,HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,USA,EURUSD=X
HFC,HFC,HollyFrontier Corp,Energy,USA,EURUSD=X
HOLX,HOLX,Hologic,Health Care,USA,EURUSD=X
HD,HD,Home Depot,Consumer Discretionary,USA,EURUSD=X
HON,HON,Honeywell Int'l Inc.,Industrials,USA,EURUSD=X
HRL,HRL,Hormel Foods Corp.,Consumer Staples,USA,EURUSD=X
HST,HST,Host Hotels & Resorts,Real Estate,USA,EURUSD=X
HWM,HWM,Howmet Aerospace,Industrials,USA,EURUSD=X
HPQ,HPQ,HP Inc.,Information Technology,USA,EURUSD=X
HUM,HUM,Humana Inc.,Health Care,USA,EURUSD=X
HBAN,HBAN,Huntington Bancshares,Financials,USA,EURUSD=X
HII,HII,Huntington Ingalls Industries,Industrials,USA,EURUSD=X
IEX,IEX,IDEX Corporation,Industrials,USA,EURUSD=X
IDXX,IDXX,IDEXX Laboratories,Health Care,USA,EURUSD=X
INFO,INFO,IHS Markit Ltd.,Industrials,USA,EURUSD=X
ITW,ITW,Illinois Tool Works,Industrials,USA,EURUSD=X
ILMN,ILMN,Illumina Inc,Health Care,USA,EURUSD=X
INCY,INCY,Incyte,Health Care,USA,EURUSD=X
IR,IR,Ingersoll Rand,Industrials,USA,EURUSD=X
INTC,INTC,Intel Corp.,Information Technology,USA,EURUSD=X
ICE,ICE,Intercontinental Exchange,Financials,USA,EURUSD=X
IBM,IBM,International Business Machines,Information Technology,USA,EURUSD=X
IP,IP,International Paper,Materials,USA,EURUSD=X
IPG,IPG,Interpublic Group,Communication Services,USA,EURUSD=X
IFF,IFF,Intl Flavors & Fragrances,Materials,USA,EURUSD=X
