Date,Strategy_1,Strategy_2,Strategy_3,Buy_and_Hold
4/1/1944,1,1,1,1
5/1/1944,1,1,1,1
6/1/1944,1,1,1,1
7/1/1944,1,1,1,1
8/1/1944,1,1,1,1
9/1/1944,1,1,1,1
10/1/1944,1,1,1,1
11/1/1944,1,1,1,1
12/1/1944,1,1,1,1
1/1/1945,0,0,-1,1
2/1/1945,0,0,-1,1
3/1/1945,0,0,-1,1
4/1/1945,0,0,-1,1
5/1/1945,0,0,-1,1
6/1/1945,0,0,-1,1
7/1/1945,0,0,-1,1
8/1/1945,0,0,-1,1
9/1/1945,0,0,-1,1
10/1/1945,0,0,-1,1
11/1/1945,0,0,-1,1
12/1/1945,0,0,-1,1
1/1/1946,0,0,-1,1
2/1/1946,0,0,-1,1
3/1/1946,0,0,-1,1
4/1/1946,0,0,-1,1
5/1/1946,0,0,-1,1
6/1/1946,0,0,-1,1
7/1/1946,0,0,-1,1
8/1/1946,0,0,-1,1
9/1/1946,0,0,-1,1
10/1/1946,0,0,-1,1
11/1/1946,0,0,-1,1
12/1/1946,0,0,-1,1
1/1/1947,0,0,-1,1
2/1/1947,0,0,-1,1
3/1/1947,0,0,-1,1
4/1/1947,0,0,-1,1
5/1/1947,0,0,-1,1
6/1/1947,0,0,-1,1
7/1/1947,0,0,-1,1
8/1/1947,0,0,-1,1
9/1/1947,0,0,-1,1
10/1/1947,0,0,-1,1
11/1/1947,0,0,-1,1
12/1/1947,0,0,-1,1
1/1/1948,0,0,-1,1
2/1/1948,0,0,-1,1
3/1/1948,0,0,-1,1
4/1/1948,0,0,-1,1
5/1/1948,0,0,-1,1
6/1/1948,0,0,-1,1
7/1/1948,0,0,-1,1
8/1/1948,0,0,-1,1
9/1/1948,0,0,-1,1
10/1/1948,0,0,-1,1
11/1/1948,0,0,-1,1
12/1/1948,0,0,-1,1
1/1/1949,0,0,-1,1
2/1/1949,0,0,-1,1
3/1/1949,0,0,-1,1
4/1/1949,0,0,-1,1
5/1/1949,0,0,-1,1
6/1/1949,0,0,-1,1
7/1/1949,0,0,-1,1
8/1/1949,0,0,-1,1
9/1/1949,0,0,-1,1
10/1/1949,0,0,-1,1
11/1/1949,0,0,-1,1
12/1/1949,0,0,-1,1
1/1/1950,0,0,-1,1
2/1/1950,0,0,-1,1
3/1/1950,0,0,-1,1
4/1/1950,0,0,-1,1
5/1/1950,0,0,-1,1
6/1/1950,0,0,-1,1
7/1/1950,0,0,-1,1
8/1/1950,0,0,-1,1
9/1/1950,0,0,-1,1
10/1/1950,0,0,-1,1
11/1/1950,0,0,-1,1
12/1/1950,0,0,-1,1
1/1/1951,1,1,1,1
2/1/1951,1,1,1,1
3/1/1951,1,1,1,1
4/1/1951,1,1,1,1
5/1/1951,1,1,1,1
6/1/1951,1,1,1,1
7/1/1951,1,1,1,1
8/1/1951,1,1,1,1
9/1/1951,1,1,1,1
10/1/1951,1,1,1,1
11/1/1951,1,1,1,1
12/1/1951,1,1,1,1
1/1/1952,1,1,1,1
2/1/1952,1,1,1,1
3/1/1952,1,1,1,1
4/1/1952,1,1,1,1
5/1/1952,1,1,1,1
6/1/1952,1,1,1,1
7/1/1952,1,1,1,1
8/1/1952,1,1,1,1
9/1/1952,1,1,1,1
10/1/1952,1,1,1,1
11/1/1952,1,1,1,1
12/1/1952,1,1,1,1
1/1/1953,0,0,0,1
2/1/1953,0,0,0,1
3/1/1953,0,0,0,1
4/1/1953,0,0,0,1
5/1/1953,0,0,0,1
6/1/1953,0,0,0,1
7/1/1953,0,0,0,1
8/1/1953,0,0,0,1
9/1/1953,0,0,0,1
10/1/1953,0,0,0,1
11/1/1953,0,0,0,1
12/1/1953,0,0,0,1
1/1/1954,0,0,0,1
2/1/1954,0,0,0,1
3/1/1954,0,0,0,1
4/1/1954,0,0,0,1
5/1/1954,0,0,0,1
6/1/1954,0,0,0,1
7/1/1954,0,0,0,1
8/1/1954,0,0,0,1
9/1/1954,0,0,0,1
10/1/1954,0,0,0,1
11/1/1954,0,0,0,1
12/1/1954,0,0,0,1
1/1/1955,0,0,0,1
2/1/1955,0,0,0,1
